"Image Name","PID","Session Name","Session#","Mem Usage"
"RuntimeBroker.exe","25424","Console","2","4,816 K"
"cmd.exe","16556","Console","2","2,912 K"
"conhost.exe","18176","Console","2","7,684 K"
"LockApp.exe","29032","Console","2","28,104 K"
"RuntimeBroker.exe","9232","Console","2","22,056 K"
"svchost.exe","33664","Services","0","4,272 K"
"hpqwmiex.exe","24528","Services","0","3,128 K"
"cmd.exe","19776","Console","2","2,364 K"
"conhost.exe","24516","Console","2","7,812 K"
"powershell.exe","9988","Console","2","14,744 K"
"svchost.exe","19612","Services","0","3,532 K"
"RuntimeBroker.exe","7228","Console","2","9,672 K"
"powershell.exe","28944","Console","2","108,608 K"
"conhost.exe","10696","Console","2","11,296 K"
"taskhostw.exe","18120","Console","2","9,828 K"
"notepad.exe","24192","Console","2","8,632 K"
"SystemSettingsBroker.exe","17584","Console","2","4,432 K"
"MicrosoftEdge.exe","31104","Console","2","4,684 K"
"browser_broker.exe","15992","Console","2","6,884 K"
"MicrosoftEdgeSH.exe","15384","Console","2","3,632 K"
"MicrosoftEdgeCP.exe","19724","Console","2","3,968 K"
"dllhost.exe","7424","Console","2","8,476 K"
"PBIDesktop.exe","29484","Console","2","115,812 K"
"msmdsrv.exe","16868","Console","2","16,620 K"
"conhost.exe","9268","Console","2","2,740 K"
"Microsoft.Mashup.Container.NetFX45.exe","29156","Console","2","7,768 K"
"CefSharp.BrowserSubprocess.exe","6876","Console","2","8,268 K"
"CefSharp.BrowserSubprocess.exe","30968","Console","2","29,848 K"
"Microsoft.Mashup.Container.NetFX45.exe","8240","Console","2","8,048 K"
"CefSharp.BrowserSubprocess.exe","25460","Console","2","105,612 K"
"CefSharp.BrowserSubprocess.exe","22992","Console","2","11,060 K"
"Microsoft.Mashup.Container.NetFX45.exe","26816","Console","2","8,140 K"
"PBIDesktop.exe","26484","Console","2","101,312 K"
"msmdsrv.exe","132","Console","2","12,056 K"
"conhost.exe","19716","Console","2","2,740 K"
"CefSharp.BrowserSubprocess.exe","12276","Console","2","8,256 K"
"Microsoft.Mashup.Container.NetFX45.exe","29624","Console","2","7,996 K"
"CefSharp.BrowserSubprocess.exe","22568","Console","2","24,968 K"
"CefSharp.BrowserSubprocess.exe","28432","Console","2","116,644 K"
"CefSharp.BrowserSubprocess.exe","29544","Console","2","10,844 K"
"Microsoft.Mashup.Container.NetFX45.exe","23688","Console","2","7,848 K"
"Microsoft.Mashup.Container.NetFX45.exe","24316","Console","2","7,876 K"
"devenv.exe","12232","Console","2","316,656 K"
"PerfWatson2.exe","16672","Console","2","29,264 K"
"ServiceHub.Host.Node.x86.exe","27196","Console","2","4,956 K"
"conhost.exe","7668","Console","2","2,864 K"
"ServiceHub.IdentityHost.exe","32128","Console","2","11,056 K"
"ServiceHub.VSDetouredHost.exe","5212","Console","2","5,484 K"
"ScriptedSandbox64.exe","31056","Console","2","90,236 K"
"ServiceHub.RoslynCodeAnalysisService32.exe","33424","Console","2","18,204 K"
"ServiceHub.Host.CLR.x86.exe","33012","Console","2","35,504 K"
"ServiceHub.SettingsHost.exe","27548","Console","2","31,496 K"
"Microsoft.Alm.Shared.Remoting.RemoteContainer.dll","20588","Console","2","6,784 K"
"cmd.exe","2252","Console","2","2,984 K"
"conhost.exe","8000","Console","2","7,676 K"
"Code.exe","10888","Console","2","81,684 K"
"Code.exe","20028","Console","2","116,656 K"
"Code.exe","33364","Console","2","208,980 K"
"winpty-agent.exe","33728","Console","2","2,948 K"
"conhost.exe","7848","Console","2","7,952 K"
"powershell.exe","10780","Console","2","47,292 K"
"Code.exe","23528","Console","2","8,360 K"
"CodeHelper.exe","15844","Console","2","2,248 K"
"conhost.exe","24968","Console","2","2,736 K"
"Code.exe","24508","Console","2","40,860 K"
"Code.exe","9452","Console","2","52,460 K"
"Code.exe","25160","Console","2","4,892 K"
"rzls.exe","9008","Console","2","7,648 K"
"conhost.exe","14556","Console","2","2,732 K"
"cmd.exe","10176","Console","2","2,292 K"
"conhost.exe","30628","Console","2","2,692 K"
"OmniSharp.exe","20696","Console","2","13,484 K"
"ScopeSymbolManagerWrapper.exe","14704","Console","2","9,288 K"
"conhost.exe","18208","Console","2","2,776 K"
"cmd.exe","8436","Console","2","2,312 K"
"conhost.exe","7864","Console","2","2,804 K"
"DataLakeConsoleAppDotNet.exe","20312","Console","2","12,356 K"
"Kusto.Explorer.exe","32756","Console","2","240,180 K"
"notepad.exe","22564","Console","2","8,552 K"
"EXCEL.EXE","15600","Console","2","107,556 K"
"notepad.exe","26860","Console","2","8,644 K"
"notepad.exe","3308","Console","2","8,652 K"
"CefSharp.BrowserSubprocess.exe","22208","Console","2","18,024 K"
"cmd.exe","14732","Console","2","2,996 K"
"conhost.exe","23240","Console","2","7,676 K"
"Code.exe","26856","Console","2","162,032 K"
"winpty-agent.exe","32696","Console","2","2,980 K"
"conhost.exe","19632","Console","2","8,024 K"
"powershell.exe","31276","Console","2","46,864 K"
"CodeHelper.exe","24372","Console","2","2,236 K"
"conhost.exe","20932","Console","2","2,740 K"
"Code.exe","17156","Console","2","10,232 K"
"Code.exe","20568","Console","2","4,940 K"
"winpty-agent.exe","25140","Console","2","2,968 K"
"conhost.exe","18412","Console","2","8,052 K"
"powershell.exe","23932","Console","2","62,840 K"
"cmd.exe","24272","Console","2","2,912 K"
"conhost.exe","27112","Console","2","9,572 K"
"chrome.exe","3816","Console","2","311,288 K"
"chrome.exe","10908","Console","2","8,148 K"
"chrome.exe","34540","Console","2","7,496 K"
"chrome.exe","21516","Console","2","285,660 K"
"chrome.exe","19008","Console","2","65,664 K"
"chrome.exe","33436","Console","2","13,732 K"
"chrome.exe","10928","Console","2","33,008 K"
"chrome.exe","14708","Console","2","393,136 K"
"chrome.exe","12228","Console","2","40,624 K"
"chrome.exe","2660","Console","2","11,096 K"
"chrome.exe","24876","Console","2","92,660 K"
"chrome.exe","22416","Console","2","42,056 K"
"chrome.exe","20268","Console","2","93,488 K"
"chrome.exe","18112","Console","2","15,492 K"
"chrome.exe","24932","Console","2","205,180 K"
"chrome.exe","18540","Console","2","83,992 K"
"chrome.exe","25916","Console","2","19,368 K"
"chrome.exe","32944","Console","2","16,648 K"
"chrome.exe","28296","Console","2","85,300 K"
"chrome.exe","20616","Console","2","46,316 K"
"chrome.exe","30028","Console","2","164,664 K"
"chrome.exe","13600","Console","2","17,616 K"
"chrome.exe","12716","Console","2","17,628 K"
"chrome.exe","16092","Console","2","19,204 K"
"chrome.exe","33544","Console","2","13,464 K"
"mstsc.exe","34372","Console","2","147,056 K"
"chrome.exe","1772","Console","2","77,056 K"
"chrome.exe","18116","Console","2","121,788 K"
"OneDrive.exe","32040","Console","2","26,684 K"
"FileCoAuth.exe","27252","Console","2","5,880 K"
"chrome.exe","13296","Console","2","102,348 K"
"chrome.exe","12240","Console","2","41,696 K"
"chrome.exe","36440","Console","2","111,792 K"
"chrome.exe","19524","Console","2","64,692 K"
"notepad.exe","18244","Console","2","8,616 K"
"chrome.exe","36484","Console","2","16,468 K"
"chrome.exe","35160","Console","2","74,248 K"
"chrome.exe","22016","Console","2","73,776 K"
"chrome.exe","18064","Console","2","18,144 K"
"splwow64.exe","36608","Console","2","3,988 K"
"svchost.exe","35260","Console","2","3,668 K"
"chrome.exe","36652","Console","2","104,656 K"
"chrome.exe","28588","Console","2","256,572 K"
"notepad.exe","20796","Console","2","8,668 K"
"chrome.exe","21020","Console","2","72,948 K"
"chrome.exe","12436","Console","2","66,528 K"
"chrome.exe","12880","Console","2","75,824 K"
"chrome.exe","24096","Console","2","23,152 K"
"chrome.exe","27864","Console","2","25,088 K"
"chrome.exe","11684","Console","2","136,348 K"
"chrome.exe","12364","Console","2","61,364 K"
"chrome.exe","1984","Console","2","20,376 K"
"chrome.exe","10448","Console","2","84,964 K"
"Teams.exe","13108","Console","2","97,116 K"
"Teams.exe","33940","Console","2","85,360 K"
"Teams.exe","25676","Console","2","26,496 K"
"Teams.exe","37036","Console","2","319,180 K"
"svchost.exe","36896","Services","0","5,584 K"
"ctfmon.exe","34504","Console","2","19,236 K"
"nvwmi64.exe","6796","Console","2","9,160 K"
"Microsoft.Photos.exe","15680","Console","2","112 K"
"SkypeApp.exe","37944","Console","2","612 K"
"RuntimeBroker.exe","34988","Console","2","21,952 K"
"SkypeBackgroundHost.exe","15448","Console","2","904 K"
"Docker for windows Installer.exe","35540","Console","2","36,424 K"
"YourPhone.exe","24016","Console","2","336 K"
"RuntimeBroker.exe","25520","Console","2","6,496 K"
"WmiPrvSE.exe","37872","Services","0","30,540 K"
"Calculator.exe","28340","Console","2","544 K"
"CcmExec.exe","38964","Services","0","64,900 K"
"chrome.exe","28632","Console","2","25,796 K"
"chrome.exe","38940","Console","2","26,520 K"
"SCNotification.exe","16652","Console","2","32,796 K"
